"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"/usr/src/app/delete_content_type.py", "Python", 2, 0, 0, 1, 3
"/usr/src/app/feng_forum/__init__.py", "Python", 0, 0, 0, 1, 1
"/usr/src/app/feng_forum/asgi.py", "Python", 10, 0, 0, 7, 17
"/usr/src/app/feng_forum/fakeurls.py", "Python", 1, 0, 0, 0, 1
"/usr/src/app/feng_forum/realurls.py", "Python", 18, 0, 0, 2, 20
"/usr/src/app/feng_forum/settings.py", "Python", 84, 0, 14, 35, 133
"/usr/src/app/feng_forum/urls.py", "Python", 18, 0, 0, 2, 20
"/usr/src/app/feng_forum/wsgi.py", "Python", 10, 0, 0, 7, 17
"/usr/src/app/feng_forum_main/__init__.py", "Python", 0, 0, 0, 1, 1
"/usr/src/app/feng_forum_main/admin.py", "Python", 5, 0, 0, 4, 9
"/usr/src/app/feng_forum_main/apps.py", "Python", 3, 0, 0, 3, 6
"/usr/src/app/feng_forum_main/forms.py", "Python", 81, 0, 4, 28, 113
"/usr/src/app/feng_forum_main/models.py", "Python", 157, 0, 20, 45, 222
"/usr/src/app/feng_forum_main/tests/__init__.py", "Python", 0, 0, 0, 1, 1
"/usr/src/app/feng_forum_main/tests/test_forms.py", "Python", 123, 0, 6, 26, 155
"/usr/src/app/feng_forum_main/tests/test_models.py", "Python", 113, 0, 3, 27, 143
"/usr/src/app/feng_forum_main/tests/test_views.py", "Python", 179, 0, 38, 51, 268
"/usr/src/app/feng_forum_main/urls.py", "Python", 35, 0, 3, 2, 40
"/usr/src/app/feng_forum_main/views.py", "Python", 126, 0, 16, 48, 190
"/usr/src/app/feng_forum_upload/__init__.py", "Python", 0, 0, 0, 1, 1
"/usr/src/app/feng_forum_upload/admin.py", "Python", 3, 0, 1, 2, 6
"/usr/src/app/feng_forum_upload/apps.py", "Python", 3, 0, 0, 3, 6
"/usr/src/app/feng_forum_upload/models.py", "Python", 21, 0, 4, 10, 35
"/usr/src/app/feng_forum_upload/tests.py", "Python", 1, 0, 1, 2, 4
"/usr/src/app/feng_forum_upload/tests/test_forms.py", "Python", 1, 0, 0, 0, 1
"/usr/src/app/feng_forum_upload/tests/test_models.py", "Python", 1, 0, 0, 1, 2
"/usr/src/app/feng_forum_upload/tests/test_views.py", "Python", 1, 0, 0, 0, 1
"/usr/src/app/feng_forum_upload/views.py", "Python", 1, 0, 1, 2, 4
"/usr/src/app/feng_forum_user/__init__.py", "Python", 0, 0, 0, 1, 1
"/usr/src/app/feng_forum_user/admin.py", "Python", 60, 0, 9, 16, 85
"/usr/src/app/feng_forum_user/apps.py", "Python", 3, 0, 0, 3, 6
"/usr/src/app/feng_forum_user/forms.py", "Python", 8, 0, 0, 6, 14
"/usr/src/app/feng_forum_user/models.py", "Python", 88, 0, 13, 34, 135
"/usr/src/app/feng_forum_user/tests/__init__.py", "Python", 0, 0, 0, 1, 1
"/usr/src/app/feng_forum_user/tests/test_forms.py", "Python", 2, 0, 1, 2, 5
"/usr/src/app/feng_forum_user/tests/test_models.py", "Python", 182, 0, 8, 38, 228
"/usr/src/app/feng_forum_user/tests/test_views.py", "Python", 1, 0, 0, 0, 1
"/usr/src/app/feng_forum_user/urls.py", "Python", 6, 0, 0, 2, 8
"/usr/src/app/feng_forum_user/views.py", "Python", 33, 0, 0, 7, 40
"/usr/src/app/manage.py", "Python", 16, 0, 1, 5, 22
"/usr/src/app/requirements.txt", "pip requirements", 0, 7, 0, 0, 7
"Total", "-", 1396, 7, 143, 427, 1973
